User ID,Age,Gender,Height (cm),Weight (kg),BMI,Step Count,Distance (m),Calories Burned,Activity Type,Duration (min),Heart Rate (bpm),Sleep Duration (hrs),Stress Level,Hydration Level (L),Temperature (C),Workout Frequency (days/week),Activity Intensity,Fitness Status
User_1,41,Male,168,96,34.013605442176875,3658,2926.4,799,Swimming,45,82,7,Medium,1.5169867560437247,36.667320972286845,3,Moderate,Not Fit
User_2,44,Male,167,72,25.816630212628635,11975,9580.0,779,Running,51,66,7,Low,3.1029514874321364,36.66927748151359,4,Low,Not Fit
User_3,22,Female,164,45,16.731112433075552,5240,4192.0,341,Walking,88,76,8,Medium,2.740582871470057,36.612564392896,5,Moderate,Not Fit
User_4,20,Female,167,55,19.721036967980208,3216,2572.8,344,Walking,21,75,6,Low,2.3144335475069493,37.11147924021095,3,High,Not Fit
User_5,42,Female,177,60,19.15158479364167,9453,7562.400000000001,440,Walking,43,87,7,High,1.6298839241493386,37.268372531787676,2,High,Not Fit
User_6,24,Female,170,68,23.529411764705884,13199,10559.2,183,Swimming,110,65,7,Low,1.9913980354741032,37.40594273152376,3,Moderate,Not Fit
User_7,24,Female,183,77,22.99262444384723,12735,10188.0,369,Walking,34,74,6,Medium,1.6396571894146212,37.47385096561849,4,Low,Not Fit
User_8,43,Male,159,77,30.457655947153988,7206,5764.8,792,Running,76,76,9,Medium,2.0043261749046506,36.73507150429006,2,High,Not Fit
User_9,21,Female,186,88,25.4364666435426,9710,7768.0,779,Running,107,89,5,High,2.119002730210955,37.117776427787845,4,High,Not Fit
User_10,23,Female,167,87,31.1950948402596,10917,8733.6,139,Running,72,69,5,Low,1.8664489222973897,36.87417476059584,3,Low,Not Fit
User_11,35,Female,165,58,21.30394857667585,11416,9132.800000000001,411,Cycling,60,87,9,Medium,1.6051498828695456,36.55953032576177,5,High,Not Fit
User_12,31,Female,159,49,19.382144693643447,5312,4249.6,740,Running,33,88,9,Low,3.1833972148329446,36.553517012750504,4,Moderate,Fit
User_13,42,Female,187,59,16.872086705367607,12636,10108.800000000001,340,Walking,36,73,5,Low,1.7255078837305606,37.28479190659827,4,High,Not Fit
User_14,30,Male,166,80,29.03178980984178,11354,9083.2,484,Running,73,72,5,High,2.2870492988760986,37.122358514500405,2,High,Not Fit
User_15,24,Female,174,80,26.42356982428326,5967,4773.6,549,Running,98,74,9,High,3.2240372910262023,37.042101493594664,3,High,Not Fit
User_16,28,Female,172,87,29.40778799351001,11366,9092.800000000001,191,Swimming,50,86,7,High,2.5910981375872826,37.31117302257459,5,Moderate,Not Fit
User_17,30,Female,169,74,25.909456951787405,10627,8501.6,213,Swimming,41,80,5,Low,2.438273264411294,37.404031821805496,3,Moderate,Not Fit
User_18,44,Male,157,54,21.907582457706194,6232,4985.6,258,Running,115,65,7,High,2.0158581354319063,36.976809595308616,3,High,Not Fit
User_19,32,Male,183,74,22.096807907073963,12937,10349.6,682,Running,61,82,6,Low,1.5696895753925728,37.149969571805286,2,High,Not Fit
User_20,22,Female,173,59,19.713321527615356,3704,2963.2000000000003,576,Swimming,71,61,5,Medium,3.3609724561897503,36.52627067888149,2,Low,Not Fit
User_21,22,Male,190,83,22.991689750692522,14332,11465.6,249,Running,105,90,6,High,1.7958278375759946,37.03242057089469,5,Moderate,Not Fit
User_22,34,Female,171,60,20.519134092541297,3087,2469.6000000000004,282,Running,65,72,8,Medium,1.9221862363022948,37.00609108357297,5,High,Not Fit
User_23,29,Female,162,70,26.672763298277697,5245,4196.0,458,Walking,68,68,6,Medium,2.3651032595816335,37.1225663167311,5,High,Not Fit
User_24,28,Male,175,64,20.897959183673468,11773,9418.4,492,Walking,92,85,5,High,2.4002102049484515,37.16432264902939,2,Low,Not Fit
User_25,34,Female,183,65,19.409358296754156,8388,6710.400000000001,128,Walking,86,76,9,Medium,1.5503059158030676,37.456408371437966,5,High,Not Fit
